server_id	user_id	asset_id	asset_name	total_count
2006102	212332453	111110105	(未知道具-111110105)	1
2006102	212332453	11111105	60分钟加速	4
2006102	212332453	11112127	聚能环-科技节2024活动BP道具	42
2006102	212332453	11112498	漫游骰子-2025复活节进度活动	15
2006102	212332453	11114315	随机资源宝箱	63
2006102	212332453	11116004	英雄经验-5000	44
2006102	212332453	11116005	英雄经验-10000	22
2006102	212332453	11116007	英雄经验-50000	3
2006102	215708954	11114315	随机资源宝箱	12
2006102	215708954	11116004	英雄经验-5000	7
2006102	2593395	11112938	(未知道具-11112938)	7
2006102	3309010	11112938	(未知道具-11112938)	7
2006102	3595937	11112938	(未知道具-11112938)	19
2006102	3722129	11112938	(未知道具-11112938)	1
2006102	4002538	11114315	随机资源宝箱	2
2006102	4002538	11116004	英雄经验-5000	1
2006102	4119653	11112938	(未知道具-11112938)	7
2006102	4200722	11119797	成长线宝箱自选2	10
2006102	4475797	11112938	(未知道具-11112938)	1
2006102	4525887	11112938	(未知道具-11112938)	1
2006102	5426839	11112938	(未知道具-11112938)	7
2006102	5898797	11114315	随机资源宝箱	2
2006102	5898797	11116004	英雄经验-5000	1
2006102	6909521	11111105	60分钟加速	2
2006102	6909521	11112127	聚能环-科技节2024活动BP道具	24
2006102	6909521	11112498	漫游骰子-2025复活节进度活动	9
2006102	6909521	11114315	随机资源宝箱	39
2006102	6909521	11116004	英雄经验-5000	44
2006102	6909521	11116005	英雄经验-10000	2
2006102	6909521	11116007	英雄经验-50000	2
2006102	7082666	11112938	(未知道具-11112938)	7
2006102	7541172	11114315	随机资源宝箱	4
2006102	7541172	11116004	英雄经验-5000	2
2006102	7694920	11112938	(未知道具-11112938)	1
2006102	8405108	111110101	(未知道具-111110101)	1
2006102	84651521	111110105	(未知道具-111110105)	1
2006102	84651521	11111105	60分钟加速	2
2006102	84651521	11112127	聚能环-科技节2024活动BP道具	18
2006102	84651521	11112498	漫游骰子-2025复活节进度活动	6
2006102	84651521	11116007	英雄经验-50000	1
2006102	8614535	11112938	(未知道具-11112938)	1
2006102	8676117	111110105	(未知道具-111110105)	10
2006102	8676117	11111156	60分钟训练加速	20
2006102	8676117	11114330	高级资源自选宝箱10w	40
2006402	222447168	11112938	(未知道具-11112938)	1
2006402	3551767	111110105	(未知道具-111110105)	5
2006402	3551767	11111156	60分钟训练加速	15
2006402	3551767	11114330	高级资源自选宝箱10w	30
2006402	3551767	11118663	猩球成长自选宝箱（价值$2)	2
2006402	4546671	11111105	60分钟加速	1
2006402	4546671	11112127	聚能环-科技节2024活动BP道具	14
2006402	4546671	11112498	漫游骰子-2025复活节进度活动	5
2006402	4546671	11114315	随机资源宝箱	31
2006402	4546671	11116004	英雄经验-5000	8
2006402	4546671	11116005	英雄经验-10000	22
2006402	4546671	11116007	英雄经验-50000	1
2006402	4686082	11112938	(未知道具-11112938)	7
